filename,field,question,regex_answer,qa_answer,qa_score,agree,chosen_answer,chosen_source,service_type,current_charges,null_file
107720232.html,offense_date,"Якого дня, місяця та року відбувся злочин?",07 грудня 2022 року,,0.1384599357843399,False,07 грудня 2022 року,regex,N/A,,
107720232.html,military_unit,Яка військова частина розглядається у справі?,,,0.14905448257923126,False,,,N/A,,
107720232.html,occupation,Яка посада військовослужбовця?,,,0.2928241491317749,False,,,N/A,,
107720232.html,military_rank,Яке звання військовослужбовця?,,,0.42178118228912354,False,,,N/A,,
107720232.html,offense_duration,Як довго тривав злочин?,,,0.552116334438324,False,,,N/A,,
107720232.html,fine_amount,Скільки гривень штрафу накладено?,, 2 465,0.5095104575157166,False, 2 465,qa,N/A,,
107720232.html,court_name,Як називається суд?,Надіслано судом: 07, Чернігівський районний суд Чернігівської області,0.8004783987998962,False,Надіслано судом: 07,regex,N/A,,
106173208.html,offense_date,"Якого дня, місяця та року відбувся злочин?",01.01.2019, 04.09.2022,0.8273146152496338,False,01.01.2019,regex,Mobilisation,,
106173208.html,military_unit,Яка військова частина розглядається у справі?,військової частини НОМЕР_1," зенітного ракетно-артилерійського дивізіону,",0.6074432134628296,False,військової частини НОМЕР_1,regex,Mobilisation,,
106173208.html,occupation,Яка посада військовослужбовця?,командира відділення," командира відділення,",0.9612096548080444,False,командира відділення,regex,Mobilisation,,
106173208.html,military_rank,Яке звання військовослужбовця?,сержант, сержанта,0.37707212567329407,False,сержант,regex,Mobilisation,,
106173208.html,offense_duration,Як довго тривав злочин?,,,0.4628783166408539,False,,,Mobilisation,,
106173208.html,fine_amount,Скільки гривень штрафу накладено?,, 2465,0.8075340390205383,False, 2465,qa,Mobilisation,,
106173208.html,court_name,Як називається суд?,Надіслано судом: 12, Київського районного суду м. Харкова,0.5123441815376282,False,Надіслано судом: 12,regex,Mobilisation,,
101219332.html,offense_date,"Якого дня, місяця та року відбувся злочин?",16 листопада 2021 року, 12.11.2021,0.2289748191833496,False,16 листопада 2021 року,regex,Contract,,
101219332.html,military_unit,Яка військова частина розглядається у справі?,Військової частини НОМЕР_1, Військової частини НОМЕР_1,0.6718083620071411,True,Військової частини НОМЕР_1,regex,Contract,,
101219332.html,occupation,Яка посада військовослужбовця?,, військову службу за контрактом,0.6670819520950317,False, військову службу за контрактом,qa,Contract,,
101219332.html,military_rank,Яке звання військовослужбовця?,, військову службу за контрактом,0.3929388225078583,False, військову службу за контрактом,qa,Contract,,
101219332.html,offense_duration,Як довго тривав злочин?,,,0.20110712945461273,False,,,Contract,,
101219332.html,fine_amount,Скільки гривень штрафу накладено?,, 2465,0.7386459708213806,False, 2465,qa,Contract,,
101219332.html,court_name,Як називається суд?,Надіслано судом: 19, Чаплинського районного суду Херсонської області,0.4136650264263153,False,Надіслано судом: 19,regex,Contract,,
105182814.html,offense_date,"Якого дня, місяця та року відбувся злочин?",08 липня  2022 року, 30.05.2022,0.42302072048187256,False,08 липня  2022 року,regex,Mobilisation,,
105182814.html,military_unit,Яка військова частина розглядається у справі?,, в/ч НОМЕР_1,0.903744637966156,False, в/ч НОМЕР_1,qa,Mobilisation,,
105182814.html,occupation,Яка посада військовослужбовця?,, головного сержанта,0.7726240158081055,False, головного сержанта,qa,Mobilisation,,
105182814.html,military_rank,Яке звання військовослужбовця?,головний сержант, головного сержанта,0.9740138053894043,False,головний сержант,regex,Mobilisation,,
105182814.html,offense_duration,Як довго тривав злочин?,2 год 0 хв,,0.5169432759284973,False,2 год 0 хв,regex,Mobilisation,,
105182814.html,fine_amount,Скільки гривень штрафу накладено?,, 3655,0.8209697008132935,False, 3655,qa,Mobilisation,,
105182814.html,court_name,Як називається суд?,Надіслано судом: 12, Хмельницького міськрайонного суду Хмельницької області,0.4788461923599243,False,Надіслано судом: 12,regex,Mobilisation,,
108781917.html,offense_date,"Якого дня, місяця та року відбувся злочин?",02 січня 2023 року, 02 січня,0.5319351553916931,False,02 січня 2023 року,regex,Mobilisation,,
108781917.html,military_unit,Яка військова частина розглядається у справі?,військової частини НОМЕР_1, НОМЕР_1,0.8238140940666199,True,військової частини НОМЕР_1,regex,Mobilisation,,
108781917.html,occupation,Яка посада військовослужбовця?,у розпорядженні командира військової частини НОМЕР_1, командира військової частини,0.725724458694458,False,у розпорядженні командира військової частини НОМЕР_1,regex,Mobilisation,,
108781917.html,military_rank,Яке звання військовослужбовця?,майор, старший солдат,0.742691159248352,False,майор,regex,Mobilisation,,
108781917.html,offense_duration,Як довго тривав злочин?,," до десяти діб,",0.2887277603149414,False," до десяти діб,",qa,Mobilisation,,
108781917.html,fine_amount,Скільки гривень штрафу накладено?,, 2465,0.6587064266204834,False, 2465,qa,Mobilisation,,
108781917.html,court_name,Як називається суд?,Надіслано судом: 05, Тернопільського міськрайонного суду Тернопільської області,0.7420436143875122,False,Надіслано судом: 05,regex,Mobilisation,,
123832348.html,offense_date,"Якого дня, місяця та року відбувся злочин?",26 березня 2024 року," 30.12.2023,",0.31975483894348145,False,26 березня 2024 року,regex,N/A,,
123832348.html,military_unit,Яка військова частина розглядається у справі?,, в/ч НОМЕР_2,0.5171406865119934,False, в/ч НОМЕР_2,qa,N/A,,
123832348.html,occupation,Яка посада військовослужбовця?,, військовослужбовця в/ч НОМЕР_2,0.4855380952358246,False, військовослужбовця в/ч НОМЕР_2,qa,N/A,,
123832348.html,military_rank,Яке звання військовослужбовця?,солдат, РНОКПП,0.16931243240833282,False,солдат,regex,N/A,,
123832348.html,offense_duration,Як довго тривав злочин?,,,0.6078885197639465,False,,,N/A,,
123832348.html,fine_amount,Скільки гривень штрафу накладено?,,,0.4731934070587158,False,,,N/A,,
123832348.html,court_name,Як називається суд?,Надіслано судом: 17, Дніпропетровського районного суду Дніпропетровської області,0.5935025215148926,False,Надіслано судом: 17,regex,N/A,,
105590744.html,offense_date,"Якого дня, місяця та року відбувся злочин?",01.01.2019, 05.08.2022р.,0.2698967754840851,False,01.01.2019,regex,N/A,,
105590744.html,military_unit,Яка військова частина розглядається у справі?,військової частини НОМЕР_3, НОМЕР_3,0.4918043613433838,True,військової частини НОМЕР_3,regex,N/A,,
105590744.html,occupation,Яка посада військовослужбовця?,, старший сержант,0.7002748250961304,False, старший сержант,qa,N/A,,
105590744.html,military_rank,Яке звання військовослужбовця?,старший сержант, старший сержант,0.6736498475074768,True,старший сержант,regex,N/A,,
105590744.html,offense_duration,Як довго тривав злочин?,, до трьох діб,0.5407454371452332,False, до трьох діб,qa,N/A,,
105590744.html,fine_amount,Скільки гривень штрафу накладено?,, 3400,0.45027875900268555,False, 3400,qa,N/A,,
105590744.html,court_name,Як називається суд?,Надіслано судом: 05, Компаніївського районного суду,0.49601486325263977,False,Надіслано судом: 05,regex,N/A,,
102604434.html,offense_date,"Якого дня, місяця та року відбувся злочин?",01.01.2019, 10.01.2022,0.3781358003616333,False,01.01.2019,regex,Contract,,
102604434.html,military_unit,Яка військова частина розглядається у справі?,військової частини НОМЕР_1, НОМЕР_1,0.47649794816970825,True,військової частини НОМЕР_1,regex,Contract,,
102604434.html,occupation,Яка посада військовослужбовця?,," солдатом військової служби за контрактом,",0.23974087834358215,False,,,Contract,,
102604434.html,military_rank,Яке звання військовослужбовця?,солдат, солдат,0.1707846075296402,True,солдат,regex,Contract,,
