filename,question,answer,score
107720232.html,"Якого дня, місяця та року відбувся злочин?",,0.1384599357843399
107720232.html,Яка військова частина розглядається у справі?,,0.14905448257923126
107720232.html,Яка посада військовослужбовця?,,0.2928241491317749
107720232.html,Яке звання військовослужбовця?,,0.42178118228912354
107720232.html,Як довго тривав злочин?,,0.552116334438324
107720232.html,Скільки гривень штрафу накладено?, 2 465,0.5095104575157166
106173208.html,"Якого дня, місяця та року відбувся злочин?", 04.09.2022,0.8273146152496338
106173208.html,Яка військова частина розглядається у справі?," зенітного ракетно-артилерійського дивізіону,",0.6074432134628296
106173208.html,Яка посада військовослужбовця?," командира відділення,",0.9612096548080444
106173208.html,Яке звання військовослужбовця?, сержанта,0.37707212567329407
106173208.html,Як довго тривав злочин?,,0.4628783166408539
106173208.html,Скільки гривень штрафу накладено?, 2465,0.8075340390205383
101219332.html,"Якого дня, місяця та року відбувся злочин?", 12.11.2021,0.2289748191833496
101219332.html,Яка військова частина розглядається у справі?, Військової частини НОМЕР_1,0.6718083620071411
101219332.html,Яка посада військовослужбовця?, військову службу за контрактом,0.6670819520950317
101219332.html,Яке звання військовослужбовця?, військову службу за контрактом,0.3929388225078583
101219332.html,Як довго тривав злочин?,,0.20110712945461273
101219332.html,Скільки гривень штрафу накладено?, 2465,0.7386459708213806
105182814.html,"Якого дня, місяця та року відбувся злочин?", 30.05.2022,0.42302072048187256
105182814.html,Яка військова частина розглядається у справі?, в/ч НОМЕР_1,0.903744637966156
105182814.html,Яка посада військовослужбовця?, головного сержанта,0.7726240158081055
105182814.html,Яке звання військовослужбовця?, головного сержанта,0.9740138053894043
105182814.html,Як довго тривав злочин?,,0.5169432759284973
105182814.html,Скільки гривень штрафу накладено?, 3655,0.8209697008132935
108781917.html,"Якого дня, місяця та року відбувся злочин?", 02 січня,0.5319351553916931
108781917.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.8238140940666199
108781917.html,Яка посада військовослужбовця?, командира військової частини,0.725724458694458
108781917.html,Яке звання військовослужбовця?, старший солдат,0.742691159248352
108781917.html,Як довго тривав злочин?," до десяти діб,",0.2887277603149414
108781917.html,Скільки гривень штрафу накладено?, 2465,0.6587064266204834
123832348.html,"Якого дня, місяця та року відбувся злочин?"," 30.12.2023,",0.31975483894348145
123832348.html,Яка військова частина розглядається у справі?, в/ч НОМЕР_2,0.5171406865119934
123832348.html,Яка посада військовослужбовця?, військовослужбовця в/ч НОМЕР_2,0.4855380952358246
123832348.html,Яке звання військовослужбовця?, РНОКПП,0.16931243240833282
123832348.html,Як довго тривав злочин?,,0.6078885197639465
123832348.html,Скільки гривень штрафу накладено?,,0.4731934070587158
105590744.html,"Якого дня, місяця та року відбувся злочин?", 05.08.2022р.,0.2698967754840851
105590744.html,Яка військова частина розглядається у справі?, НОМЕР_3,0.4918043613433838
105590744.html,Яка посада військовослужбовця?, старший сержант,0.7002748250961304
105590744.html,Яке звання військовослужбовця?, старший сержант,0.6736498475074768
105590744.html,Як довго тривав злочин?, до трьох діб,0.5407454371452332
105590744.html,Скільки гривень штрафу накладено?, 3400,0.45027875900268555
102604434.html,"Якого дня, місяця та року відбувся злочин?", 10.01.2022,0.3781358003616333
102604434.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.47649794816970825
102604434.html,Яка посада військовослужбовця?," солдатом військової служби за контрактом,",0.23974087834358215
102604434.html,Яке звання військовослужбовця?, солдат,0.1707846075296402
102604434.html,Як довго тривав злочин?,,0.5262987017631531
102604434.html,Скільки гривень штрафу накладено?, 2465,0.766560971736908
124549986.html,"Якого дня, місяця та року відбувся злочин?", 06 січня,0.37863150238990784
124549986.html,Яка військова частина розглядається у справі?, Військової частини НОМЕР_1,0.710274875164032
124549986.html,Яка посада військовослужбовця?, старший солдат,0.7677518129348755
124549986.html,Яке звання військовослужбовця?, старший солдат,0.9711143374443054
124549986.html,Як довго тривав злочин?,,0.4010629653930664
124549986.html,Скільки гривень штрафу накладено?," 17 000,00",0.5536966323852539
115954742.html,"Якого дня, місяця та року відбувся злочин?",,0.4333491623401642
115954742.html,Яка військова частина розглядається у справі?,,0.8733885884284973
115954742.html,Яка посада військовослужбовця?,,0.9505419731140137
115954742.html,Яке звання військовослужбовця?,,0.953035295009613
115954742.html,Як довго тривав злочин?,,0.963241696357727
115954742.html,Скільки гривень штрафу накладено?,,0.9332771897315979
108373413.html,"Якого дня, місяця та року відбувся злочин?", 20.11.2022,0.7171186208724976
108373413.html,Яка військова частина розглядається у справі?, 2 стрілецького батальйону,0.17718900740146637
108373413.html,Яка посада військовослужбовця?, Солдат,0.9093658924102783
108373413.html,Яке звання військовослужбовця?, Солдат,0.9203793406486511
108373413.html,Як довго тривав злочин?,,0.6316669583320618
108373413.html,Скільки гривень штрафу накладено?," 2465,00",0.6365223526954651
120590086.html,"Якого дня, місяця та року відбувся злочин?", 25.06.2024,0.47965723276138306
120590086.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.6657519936561584
120590086.html,Яка посада військовослужбовця?, солдат кухар,0.7740342020988464
120590086.html,Яке звання військовослужбовця?, солдат кухар,0.7727901339530945
120590086.html,Як довго тривав злочин?,,0.7606183290481567
120590086.html,Скільки гривень штрафу накладено?,,0.5154873728752136
109835762.html,"Якого дня, місяця та року відбувся злочин?", 28 березня,0.3130786716938019
109835762.html,Яка військова частина розглядається у справі?, НОМЕР_2,0.7401251196861267
109835762.html,Яка посада військовослужбовця?," сержанта резерву,",0.8858916163444519
109835762.html,Яке звання військовослужбовця?," сержанта резерву,",0.8173333406448364
109835762.html,Як довго тривав злочин?,,0.7210186123847961
109835762.html,Скільки гривень штрафу накладено?,,0.48661690950393677
104951167.html,"Якого дня, місяця та року відбувся злочин?",,0.07749229669570923
104951167.html,Яка військова частина розглядається у справі?, НОМЕР_3,0.4641072452068329
104951167.html,Яка посада військовослужбовця?," солдата військової частини НОМЕР_3,",0.5042724609375
104951167.html,Яке звання військовослужбовця?," стрілця -зенітника,",0.3087715804576874
104951167.html,Як довго тривав злочин?,,0.6020907163619995
104951167.html,Скільки гривень штрафу накладено?, 2 465,0.5795525908470154
104618376.html,"Якого дня, місяця та року відбувся злочин?", 01 червня,0.44577980041503906
104618376.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.7638864517211914
104618376.html,Яка посада військовослужбовця?, солдата,0.5712063312530518
104618376.html,Яке звання військовослужбовця?, солдата,0.48826906085014343
104618376.html,Як довго тривав злочин?," до десяти діб,",0.7332988977432251
104618376.html,Скільки гривень штрафу накладено?,,0.40337979793548584
106673960.html,"Якого дня, місяця та року відбувся злочин?",,0.7775865197181702
106673960.html,Яка військова частина розглядається у справі?,,0.9018895030021667
106673960.html,Яка посада військовослужбовця?,,0.9549612402915955
106673960.html,Яке звання військовослужбовця?,,0.9570557475090027
106673960.html,Як довго тривав злочин?,,0.9608466029167175
106673960.html,Скільки гривень штрафу накладено?,,0.9347290396690369
107342763.html,"Якого дня, місяця та року відбувся злочин?", 03.11.2022,0.4674849808216095
107342763.html,Яка військова частина розглядається у справі?, НОМЕР_1,0.8696878552436829
107342763.html,Яка посада військовослужбовця?," солдат стрілець 3 взводу 1 стрілецької роти,",0.4382133483886719
107342763.html,Яке звання військовослужбовця?, солдат стрілець,0.671124279499054
107342763.html,Як довго тривав злочин?,,0.5229097604751587
107342763.html,Скільки гривень штрафу накладено?, 2465.00,0.34291693568229675
115678453.html,"Якого дня, місяця та року відбувся злочин?", 07 грудня,0.6134120225906372
115678453.html,Яка військова частина розглядається у справі?, 2 танкової роти,0.435558021068573
115678453.html,Яка посада військовослужбовця?, старшого механіка-водія,0.8483239412307739
